📡通用线路1,#genre#
CCTV5,http://222.85.198.92:8000/hls/5/index.m3u8
CCTV6,http://222.89.96.36:8001/hls/6/index.m3u8
CCTV6,http://222.85.198.92:8000/hls/6/index.m3u8
CCTV7,http://222.89.96.36:8001/hls/7/index.m3u8
CCTV7,http://222.85.198.92:8000/hls/7/index.m3u8
CCTV8,http://222.89.96.36:8001/hls/8/index.m3u8
CCTV8,http://222.85.198.92:8000/hls/8/index.m3u8
CCTV9,http://222.89.96.36:8001/hls/9/index.m3u8
CCTV10,http://222.89.96.36:8001/hls/10/index.m3u8
CCTV10,http://222.85.198.92:8000/hls/9/index.m3u8
CCTV11,http://222.89.96.36:8001/hls/11/index.m3u8
CCTV11,http://222.85.198.92:8000/hls/10/index.m3u8
CCTV12,http://222.89.96.36:8001/hls/12/index.m3u8
CCTV12,http://222.85.198.92:8000/hls/11/index.m3u8
CCTV13,http://222.89.96.36:8001/hls/13/index.m3u8
CCTV13,http://222.85.198.92:8000/hls/12/index.m3u8
CCTV14,http://222.89.96.36:8001/hls/14/index.m3u8
CCTV14,http://222.85.198.92:8000/hls/13/index.m3u8
CCTV15,http://222.89.96.36:8001/hls/15/index.m3u8
CCTV15,http://222.85.198.92:8000/hls/14/index.m3u8
CCTV17,http://222.85.198.92:8000/hls/15/index.m3u8
CCTV17,http://bztv.tvbus.cc:8081/cdnlive/cctv17.m3u8

CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV15,http://222.223.41.27:8888/hls/15/index.m3u8

CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8
CCTV2,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8
CCTV3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8
CCTV4,http://61.178.227.57:9901/tsfile/live/0004_1.m3u8
CCTV5,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8
CCTV6,http://61.178.227.57:9901/tsfile/live/0006_1.m3u8
CCTV7,http://61.178.227.57:9901/tsfile/live/0007_1.m3u8
CCTV8,http://61.178.227.57:9901/tsfile/live/0008_1.m3u8
CCTV9,http://61.178.227.57:9901/tsfile/live/0009_1.m3u8
CCTV10,http://61.178.227.57:9901/tsfile/live/0010_1.m3u8
CCTV11,http://61.178.227.57:9901/tsfile/live/1006_1.m3u8
CCTV12,http://61.178.227.57:9901/tsfile/live/0012_1.m3u8
CCTV13,http://61.178.227.57:9901/tsfile/live/0013_1.m3u8
CCTV14,http://61.178.227.57:9901/tsfile/live/1004_1.m3u8
CCTV15,http://61.178.227.57:9901/tsfile/live/1000_1.m3u8
CCTV17,http://61.178.227.57:9901/tsfile/live/0142_1.m3u8

河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
北京卫视,http://14.153.176.157:1234/630287636
东方卫视,http://14.153.176.157:1234/651632648
江苏卫视,http://14.153.176.157:1234/623899368
江西卫视,http://14.153.176.157:1234/783847495
湖北卫视,http://14.153.176.157:1234/947472496
辽宁卫视,http://14.153.176.157:1234/630291707
陕西卫视,http://14.153.176.157:1234/738910838
河南卫视,http://14.153.176.157:1234/790187291
重庆卫视,http://14.153.176.157:1234/738910914
吉林卫视,http://14.153.176.157:1234/947472500
青海卫视,http://14.153.176.157:1234/947472506
宁夏卫视,http://14.153.176.157:1234/738910535
海南卫视,http://14.153.176.157:1234/947472502
兵团卫视,http://14.153.176.157:1234/956923145
三沙卫视,http://14.153.176.157:1234/961023778

北京卫视,http://182.61.15.163:80/630287636
东方卫视,http://182.61.15.163:80/651632648
江苏卫视,http://182.61.15.163:80/623899368
江西卫视,http://182.61.15.163:80/783847495
湖北卫视,http://182.61.15.163:80/947472496
辽宁卫视,http://182.61.15.163:80/630291707
陕西卫视,http://182.61.15.163:80/738910838
河南卫视,http://182.61.15.163:80/790187291
重庆卫视,http://182.61.15.163:80/738910914
吉林卫视,http://182.61.15.163:80/947472500
青海卫视,http://182.61.15.163:80/947472506
宁夏卫视,http://182.61.15.163:80/738910535
海南卫视,http://182.61.15.163:80/947472502
兵团卫视,http://182.61.15.163:80/956923145
三沙卫视,http://182.61.15.163:80/961023778

北京卫视,http://222.134.19.49:8090/630287636
东方卫视,http://222.134.19.49:8090/651632648
江苏卫视,http://222.134.19.49:8090/623899368
江西卫视,http://222.134.19.49:8090/783847495
湖北卫视,http://222.134.19.49:8090/947472496
辽宁卫视,http://222.134.19.49:8090/630291707
陕西卫视,http://222.134.19.49:8090/738910838
河南卫视,http://222.134.19.49:8090/790187291
重庆卫视,http://222.134.19.49:8090/738910914
吉林卫视,http://222.134.19.49:8090/947472500
青海卫视,http://222.134.19.49:8090/947472506
宁夏卫视,http://222.134.19.49:8090/738910535
海南卫视,http://222.134.19.49:8090/947472502
兵团卫视,http://222.134.19.49:8090/956923145
三沙卫视,http://222.134.19.49:8090/961023778

北京卫视,http://47.119.24.76:59093/630287636
东方卫视,http://47.119.24.76:59093/651632648
江苏卫视,http://47.119.24.76:59093/623899368
江西卫视,http://47.119.24.76:59093/783847495
湖北卫视,http://47.119.24.76:59093/947472496
辽宁卫视,http://47.119.24.76:59093/630291707
陕西卫视,http://47.119.24.76:59093/738910838
河南卫视,http://47.119.24.76:59093/790187291
重庆卫视,http://47.119.24.76:59093/738910914
吉林卫视,http://47.119.24.76:59093/947472500
青海卫视,http://47.119.24.76:59093/947472506
宁夏卫视,http://47.119.24.76:59093/738910535
海南卫视,http://47.119.24.76:59093/947472502
兵团卫视,http://47.119.24.76:59093/956923145
三沙卫视,http://47.119.24.76:59093/961023778

河北卫视,http://61.178.227.57:9901/tsfile/live/0117_1.m3u8
湖南卫视,http://61.178.227.57:9901/tsfile/live/0128_1.m3u8
北京卫视,http://61.178.227.57:9901/tsfile/live/0122_1.m3u8
东方卫视,http://61.178.227.57:9901/tsfile/live/0107_1.m3u8
天津卫视,http://61.178.227.57:9901/tsfile/live/0135_1.m3u8
深圳卫视,http://61.178.227.57:9901/tsfile/live/0126_1.m3u8
江苏卫视,http://61.178.227.57:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://61.178.227.57:9901/tsfile/live/0124_1.m3u8
山东卫视,http://61.178.227.57:9901/tsfile/live/0131_1.m3u8
四川卫视,http://61.178.227.57:9901/tsfile/live/0123_1.m3u8
广东卫视,http://61.178.227.57:9901/tsfile/live/0125_1.m3u8
湖北卫视,http://61.178.227.57:9901/tsfile/live/0132_1.m3u8
安徽卫视,http://61.178.227.57:9901/tsfile/live/0130_1.m3u8
江西卫视,http://61.178.227.57:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://61.178.227.57:9901/tsfile/live/0120_1.m3u8
重庆卫视,http://61.178.227.57:9901/tsfile/live/0142_2.m3u8
黑龙卫视,http://61.178.227.57:9901/tsfile/live/0143_1.m3u8
吉林卫视,http://61.178.227.57:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://61.178.227.57:9901/tsfile/live/0121_1.m3u8
东南卫视,http://61.178.227.57:9901/tsfile/live/0137_1.m3u8
河南卫视,http://61.178.227.57:9901/tsfile/live/0139_1.m3u8
陕西卫视,http://61.178.227.57:9901/tsfile/live/0136_1.m3u8
山西卫视,http://61.178.227.57:9901/tsfile/live/0118_1.m3u8
云南卫视,http://61.178.227.57:9901/tsfile/live/0119_1.m3u8
甘肃卫视,http://61.178.227.57:9901/tsfile/live/0110_1.m3u8
青海卫视,http://61.178.227.57:9901/tsfile/live/0140_1.m3u8
西藏卫视,http://61.178.227.57:9901/tsfile/live/0111_1.m3u8
内蒙卫视,http://61.178.227.57:9901/tsfile/live/0109_1.m3u8
兵团卫视,http://61.178.227.57:9901/tsfile/live/0115_1.m3u8
厦门卫视,http://61.178.227.57:9901/tsfile/live/0129_1.m3u8
旅游卫视,http://61.178.227.57:9901/tsfile/live/0114_1.m3u8

河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
云南卫视,http://222.223.41.27:8888/hls/35/index.m3u8
陕西卫视,http://222.223.41.27:8888/hls/48/index.m3u8
青海卫视,http://222.223.41.27:8888/hls/50/index.m3u8
内蒙卫视,http://222.223.41.27:8888/hls/49/index.m3u8

河南卫视,http://222.89.96.36:8001/hls/16/index.m3u8
北京卫视,http://222.89.96.36:8001/hls/25/index.m3u8
东方卫视,http://222.89.96.36:8001/hls/23/index.m3u8
江苏卫视,http://222.89.96.36:8001/hls/24/index.m3u8
浙江卫视,http://222.89.96.36:8001/hls/22/index.m3u8
山东卫视,http://222.89.96.36:8001/hls/28/index.m3u8
广东卫视,http://222.89.96.36:8001/hls/26/index.m3u8
辽宁卫视,http://222.89.96.36:8001/hls/30/index.m3u8
黑龙卫视,http://222.89.96.36:8001/hls/27/index.m3u8
陕西卫视,http://222.89.96.36:8001/hls/31/index.m3u8
安徽卫视,http://222.89.96.36:8001/hls/29/index.m3u8
贵州卫视,http://222.89.96.36:8001/hls/32/index.m3u8

湖南卫视,http://222.85.198.92:8000/hls/17/index.m3u8
浙江卫视,http://222.85.198.92:8000/hls/18/index.m3u8
江苏卫视,http://222.85.198.92:8000/hls/19/index.m3u8
四川卫视,http://222.85.198.92:8000/hls/46/index.m3u8
贵州卫视,http://222.85.198.92:8000/hls/16/index.m3u8
安徽卫视,http://222.85.198.92:8000/hls/20/index.m3u8
河南卫视,http://222.85.198.92:8000/hls/27/index.m3u8
北京卫视,http://222.85.198.92:8000/hls/29/index.m3u8
云南卫视,http://222.85.198.92:8000/hls/35/index.m3u8
山东卫视,http://222.85.198.92:8000/hls/43/index.m3u8
江西卫视,http://222.85.198.92:8000/hls/44/index.m3u8
黑龙卫视,http://222.85.198.92:8000/hls/45/index.m3u8

河北卫视,http://60.10.139.113:8801/hls/16/index.m3u8$转悠
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8
深圳卫视,http://60.10.139.113:8801/hls/24/index.m3u8
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8$转悠
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8
重庆卫视,http://60.10.139.113:8801/hls/31/index.m3u8
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8
广东卫视,http://60.10.139.113:8801/hls/26/index.m3u8
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8
辽宁卫视,http://60.10.139.113:8801/hls/28/index.m3u8
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8
黑龙卫视,http://60.10.139.113:8801/hls/27/index.m3u8
贵州卫视,http://60.10.139.113:8801/hls/36/index.m3u8

延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰香港,http://123.234.2.58:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰资讯,http://123.234.2.58:80/qctv.fengshows.cn/live/0701pin72.m3u8

//高码频道不大行
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$高码频道
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2$高码频道
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3$高码频道
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4$高码频道
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5$高码频道
CCTV5,http://m.061899.xyz/mg/cctv5$泛播2
CCTV5+,http://j.s.bkpcp.top/jj/cctv5p$美国 CloudFlare节点
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p$高码频道
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6$高码频道
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7$高码频道
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8 $高码频道
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9 $高码频道
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10$高码频道
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11$高码频道
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12$高码频道
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13 $高码频道
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14$高码频道
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15$高码频道
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16$高码频道
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17$高码频道
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws$高码频道
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws$高码频道
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws$高码频道
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws$高码频道
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws$高码频道
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws$高码频道
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws$高码频道
大湾区卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dwqws$高码频道
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws$高码频道
山西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sxiws$高码频道
西藏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=xzws$高码频道
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws$高码频道
甘肃卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gsws$高码频道
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws$高码频道
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws$高码频道
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws$高码频道
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws$高码频道
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws$高码频道
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws$高码频道
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws$高码频道
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws$高码频道
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws$高码频道

//泛播01不大行
CCTV1,http://t.061899.xyz/tl/dq.php?id=cctv1$泛播01
CCTV2,http://t.061899.xyz/tl/dq.php?id=cctv2$泛播01
CCTV3,http://t.061899.xyz/tl/dq.php?id=cctv3$泛播01
CCTV4,http://t.061899.xyz/tl/dq.php?id=cctv4$泛播01
CCTV5,http://t.061899.xyz/tl/dq.php?id=cctv5$泛播01
CCTV6,http://t.061899.xyz/tl/dq.php?id=cctv6$泛播01
CCTV7,http://t.061899.xyz/tl/dq.php?id=cctv7$泛播01
CCTV8,http://t.061899.xyz/tl/dq.php?id=cctv8$泛播01
CCTV9,http://t.061899.xyz/tl/dq.php?id=cctv9$泛播01
CCTV10,http://t.061899.xyz/tl/dq.php?id=cctv10$泛播01
CCTV11,http://t.061899.xyz/tl/dq.php?id=cctv11$泛播01
CCTV12,http://t.061899.xyz/tl/dq.php?id=cctv12$泛播01
CCTV13,http://t.061899.xyz/tl/dq.php?id=cctv13$泛播01
CCTV14,http://t.061899.xyz/tl/dq.php?id=cctv14$泛播01
CCTV15,http://t.061899.xyz/tl/dq.php?id=cctv15$泛播01
CCTV16,http://t.061899.xyz/tl/dq.php?id=cctv16$泛播01
CCTV17,http://t.061899.xyz/tl/dq.php?id=cctv17$泛播01
浙江卫视,http://t.061899.xyz/tl/dq.php?id=zjws$泛播01
江苏卫视,http://t.061899.xyz/tl/dq.php?id=jsws$泛播01
东方卫视,http://t.061899.xyz/tl/dq.php?id=dfws$泛播01
江西卫视,http://t.061899.xyz/tl/dq.php?id=jxws$泛播01
湖北卫视,http://t.061899.xyz/tl/dq.php?id=hubws$泛播01
吉林卫视,http://t.061899.xyz/tl/dq.php?id=jlws$泛播01
海南卫视,http://t.061899.xyz/tl/dq.php?id=hinws$泛播01
大湾区卫视,http://t.061899.xyz/tl/dq.php?id=dwqws$泛播01
河北卫视,http://t.061899.xyz/tl/dq.php?id=hbws$泛播01
山西卫视,http://t.061899.xyz/tl/dq.php?id=sxiws$泛播01
西藏卫视,http://t.061899.xyz/tl/dq.php?id=xzws$泛播01
北京卫视,http://t.061899.xyz/tl/dq.php?id=bjws$泛播01
甘肃卫视,http://t.061899.xyz/tl/dq.php?id=gsws$泛播01
湖南卫视,http://t.061899.xyz/tl/dq.php?id=hunws$泛播01
内蒙古卫视,http://t.061899.xyz/tl/dq.php?id=nmgws$泛播01
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws$泛播01
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws$泛播01
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws$泛播01
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws$泛播01
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws$泛播01
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws$泛播01
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws$泛播01
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws$泛播01
内蒙古视,http://t.061899.xyz/tl/tl.php?id=nmgws$泛播01

//咪咕1频道不大行
CCTV1,http://go.bkpcp.top/mg/cctv1$咪咕1
CCTV2,http://go.bkpcp.top/mg/cctv2$咪咕1
CCTV3,http://go.bkpcp.top/mg/cctv3$咪咕频道
CCTV4,http://go.bkpcp.top/mg/cctv4$咪咕1
CCTV5,http://go.bkpcp.top/mg/cctv5$咪咕1
CCTV5+,http://go.bkpcp.top/mg/cctv5p$咪咕1
CCTV6,http://go.bkpcp.top/mg/cctv6$咪咕1
CCTV7,http://goo.bkpcp.top/mg/cctv7$咪咕1
CCTV8,http://go.bkpcp.top/mg/cctv8$咪咕1
CCTV9,http://go.bkpcp.top/mg/cctv9$咪咕1
CCTV10,http://go.bkpcp.top/mg/cctv10$咪咕1
CCTV11,http://go.bkpcp.top/mg/cctv11$咪咕1
CCTV12,http://go.bkpcp.top/mg/cctv12$咪咕1
CCTV13,http://go.bkpcp.top/mg/cctv13$咪咕1
CCTV14,http://go.bkpcp.top/mg/cctv14$咪咕1
CCTV15,http://go.bkpcp.top/mg/cctv15$咪咕1
CCTV16,http://go.bkpcp.top/mg/cctv16$咪咕1
CCTV17,http://go.bkpcp.top/mg/cctv17$咪咕1
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o$咪咕1
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m$咪咕1
CGTN西语,http://go.bkpcp.top/mg/cgtne$咪咕1
CGTN阿语,http://go.bkpcp.top/mg/cgtna$咪咕1
CGTN法语,http://go.bkpcp.top/mg/cgtnf$咪咕1
浙江卫视,http://go.bkpcp.top/mg/zjws$咪咕1
江苏卫视,http://go.bkpcp.top/mg/jsws$咪咕1
东方卫视,http://go.bkpcp.top/mg/dfws$咪咕1
江西卫视,http://go.bkpcp.top/mg/jxws$咪咕1
湖北卫视,http://go.bkpcp.top/mg/hubws$咪咕1
吉林卫视,http://go.bkpcp.top/mg/jlws$咪咕1
海南卫视,http://go.bkpcp.top/mg/hinws$咪咕1
大湾区卫视,http://go.bkpcp.top/mg/dwqws$咪咕1
河北卫视,http://go.bkpcp.top/mg/hbws$咪咕1
山西卫视,http://go.bkpcp.top/mg/sxiws$咪咕1
西藏卫视,http://go.bkpcp.top/mg/xzws$咪咕1
北京卫视,http://go.bkpcp.top/mg/bjws$咪咕1
甘肃卫视,http://go.bkpcp.top/mg/gsws$咪咕1
湖南卫视,http://go.bkpcp.top/mg/hunws$咪咕1
深圳卫视4k,http://go.bkpcp.top/mg/szws$咪咕1
山东卫视,http://go.bkpcp.top/mg/sdws$咪咕1
河南卫视,http://go.bkpcp.top/mg/hnws$咪咕1
陕西卫视,http://go.bkpcp.top/mg/sxws$咪咕1
兵团卫视,http://go.bkpcp.top/mg/btws$咪咕1
黑龙江视,http://go.bkpcp.top/mg/hljws$咪咕1
广东卫视,http://go.bkpcp.top/mg/gdws$咪咕1
重庆卫视,http://go.bkpcp.top/mg/cqws$咪咕1
内蒙古卫视,http://go.bkpcp.top/mg/nmgws$咪咕1
贵州卫视,http://go.bkpcp.top/mg/gzws$咪咕1
